GarnetNetwork, Cores=16, Rows=4, VCs=8, Vnets=3,
4,Link,0,,flit,196608,3,0,0,0,15,3,,
4,Link,2,,flit,197120,3,0,0,2,13,3,,
4,Link,3,,flit,197376,3,0,0,3,12,3,,
4,Link,5,,flit,197888,3,0,0,5,10,3,,
4,Link,6,,flit,198144,3,0,0,6,9,3,,
4,Link,7,,flit,198400,3,0,0,7,8,3,,
4,Link,8,,flit,198656,3,0,0,8,7,3,,
4,Link,9,,flit,198912,3,0,0,9,6,3,,
4,Link,10,,flit,199168,3,0,0,10,5,3,,
4,Link,11,,flit,199424,3,0,0,11,4,3,,
4,Link,12,,flit,199680,3,0,0,12,3,3,,
4,Link,13,,flit,199936,3,0,0,13,2,3,,
4,Link,14,,flit,200192,3,0,0,14,1,3,,
4,Link,15,,flit,200448,3,0,0,15,0,3,,
5,Link,15,,flit,265984,3,0,1,15,0,4,,
5,Link,14,,flit,265728,3,0,1,14,1,4,,
5,Link,12,,flit,265216,3,0,1,12,3,4,,
5,Link,11,,flit,264960,3,0,1,11,4,4,,
5,Link,10,,flit,264704,3,0,1,10,5,4,,
5,Link,8,,flit,264192,3,0,1,8,7,4,,
5,Link,6,,flit,263680,3,0,1,6,9,4,,
5,Link,5,,flit,263424,3,0,1,5,10,4,,
5,Link,4,,flit,263168,3,0,0,4,11,4,,
5,Link,3,,flit,262912,3,0,1,3,12,4,,
5,Link,1,,flit,262400,3,0,0,1,14,4,,
5,Link,0,,flit,262144,3,0,1,0,15,4,,
5,InUnit,15,0,flit,200448,3,0,0,15,0,3,3,
5,InUnit,14,0,flit,200192,3,0,0,14,1,3,2,
5,InUnit,13,0,flit,199936,3,0,0,13,2,3,4,
5,InUnit,12,0,flit,199680,3,0,0,12,3,3,3,
5,InUnit,11,0,flit,199424,3,0,0,11,4,3,3,
5,InUnit,10,0,flit,199168,3,0,0,10,5,3,3,
5,InUnit,9,0,flit,198912,3,0,0,9,6,3,2,
5,InUnit,8,0,flit,198656,3,0,0,8,7,3,2,
5,InUnit,7,0,flit,198400,3,0,0,7,8,3,3,
5,InUnit,6,0,flit,198144,3,0,0,6,9,3,3,
5,InUnit,5,0,flit,197888,3,0,0,5,10,3,5,
5,InUnit,3,0,flit,197376,3,0,0,3,12,3,2,
5,InUnit,2,0,flit,197120,3,0,0,2,13,3,4,
5,InUnit,0,0,flit,196608,3,0,0,0,15,3,2,
6,Link,0,,flit,327680,3,0,2,0,15,5,,
6,Link,2,,flit,328192,3,0,1,2,13,5,,
6,Link,3,,flit,328448,3,0,2,3,12,5,,
6,Link,4,,flit,328704,3,0,1,4,11,5,,
